"Inicio","Final","Descripcion","Lectivo","Tipo","Formato"
"2016-09-05","2016-09-05","Jornada de Bienvenida",FALSE,"Grado","fiesta"
"2016-09-05","2016-09-19","Matrícula",TRUE,"Master","matricula"
"2016-09-06","2017-01-31","Primer semestre",TRUE,"Grado","normal"
"2016-09-06","2016-12-22","Docencia",TRUE,"Grado","lectivo"
"2016-09-13","2017-01-31","Primer semestre",TRUE,"Master","normal"
"2016-09-13","2016-12-14","Docencia",TRUE,"Master","lectivo"
"2016-09-30","2016-09-30","Noche de los Investigadores",TRUE,"ETSIDI","lectivo"
"2016-10-12","2016-10-12","Fiesta Nacional",TRUE,"ETSIDI","fiesta"
"2016-10-29","2016-10-31","Campeonato INTER EUITI (Madrid)",TRUE,"ETSIDI","lectivo"
"2016-11-01","2016-11-01","Fiesta Nacional",TRUE,"ETSIDI","fiesta"
"2016-11-09","2016-11-09","Fiesta Local",TRUE,"ETSIDI","fiesta"
"2016-11-12","2016-11-19","Semana ATHENS",TRUE,"ETSIDI","lectivo"
"2016-12-01","2016-12-01","Examen Nivel Lengua Inglesa",TRUE,"Grado","examen"
"2016-12-06","2016-12-06","Fiesta Nacional",TRUE,"ETSIDI","fiesta"
"2016-12-08","2016-12-08","Fiesta Nacional",TRUE,"ETSIDI","fiesta"
"2016-12-23","2017-01-08","Vacaciones de Navidad",TRUE,"ETSIDI","fiesta"
"2017-01-09","2017-01-24","Exámenes del primer semestre",TRUE,"Grado","examen"
"2017-01-16","2017-01-31","Exámenes del primer semestre",TRUE,"Master","examen"
"2017-01-23","2017-02-06","Matrícula",TRUE,"Grado","matricula"
"2017-01-30","2017-01-30","Santo Tomás de Aquino",FALSE,"ETSIDI","fiesta"
"2017-01-30","2017-02-10","Matrícula",TRUE,"Master","matricula"
"2017-02-01","2017-06-20","Segundo semestre",TRUE,"Grado","normal"
"2017-02-02","2017-06-20","Segundo semestre",TRUE,"Master","normal"
"2017-02-01","2017-05-30","Docencia",TRUE,"Grado","lectivo"
"2017-02-02","2017-05-10","Docencia",TRUE,"Master","lectivo"
"2017-03-11","2017-03-18","Semana ATHENS",TRUE,"ETSIDI","lectivo"
"2017-03-17","2017-03-17","Fiesta ETSIDI",FALSE,"ETSIDI","fiesta"
"2017-04-10","2017-04-17","Vacaciones de Semana Santa",TRUE,"ETSIDI","fiesta"
"2017-05-01","2017-05-01","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2017-05-02","2017-05-02","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2017-05-03","2017-05-03","Horario de lunes",TRUE,"ETSIDI","especial"
"2017-05-04","2017-05-04","Examen Nivel Lengua Inglesa",TRUE,"Grado","examen"
"2017-05-15","2017-05-15","Fiesta Local",TRUE,"ETSIDI","fiesta"
"2017-05-18","2017-05-18","Horario de lunes",TRUE,"ETSIDI","especial"
"2017-05-24","2017-05-30","Ampliación de actividades",TRUE,"Grado","aa"
"2017-06-05","2017-06-20","Exámenes del segundo semestre",TRUE,"Grado","examen"
"2017-06-05","2017-06-20","Exámenes del segundo semestre",TRUE,"Master","examen"
"2017-06-28","2017-07-13","Exámenes extraordinarios",TRUE,"Master","examen"
"2017-06-29","2017-07-19","Exámenes extraordinarios",TRUE,"Grado","examen"
"2017-07-17","2017-07-31","Matrícula",TRUE,"Grado","matricula"
"2017-07-17","2017-07-31","Matrícula",TRUE,"Master","matricula"
