"Inicio","Final","Descripcion","Lectivo","Tipo","Formato"
"2023-09-01","2024-01-31","Primer semestre",TRUE,"ETSIDI","normal"
"2023-09-01","2023-09-08","Entrega del TFG convocatoria extraordinaria curso 2022-2023",TRUE,"Grado","transparent"
"2023-09-01","2023-09-08","Entrega del TFM convocatoria extraordinaria curso 2022-2023",NA,"Master","transparent"
"2023-09-04","2023-09-08","Matrícula: periodo extraordinario alumnos nuevo ingreso",TRUE,"Grado","matricula"
"2023-09-04","2023-09-08","Matrícula",TRUE,"Master","matricula"
"2023-09-05","2023-09-05","Welcome day to international students",TRUE,"Grado","evento"
"2023-09-06","2023-09-06","Jornada de Bienvenida",TRUE,"Grado","evento"
"2023-09-07","2023-12-22","Docencia",TRUE,"Grado","lectivo"
"2023-09-12","2023-09-26","Defensa de TFM, convocatoria extraordinaria curso 2022-2023",TRUE,"Master","lectivo"
"2023-09-14","2023-12-15","Docencia",TRUE,"Master","lectivo"
"2023-09-19","2023-09-22","Defensa de TFG, convocatoria extraordinaria curso 2022-2023",TRUE,"Grado","lectivo"
"2023-09-29","2023-09-29","Noche de los Investigadores",TRUE,"ETSIDI","evento"
"2023-10-09","2023-10-09","Horario de jueves",TRUE,"ETSIDI","especial"
"2023-10-12","2023-10-12","Fiesta nacional",FALSE,"ETSIDI","fiesta"
"2023-10-13","2023-10-13","No lectivo",FALSE,"ETSIDI","noLectivo"
"2023-10-31","2023-10-31","Horario de miércoles",TRUE,"ETSIDI","especial"
"2023-11-01","2023-11-01","Fiesta nacional",FALSE,"ETSIDI","fiesta"
"2023-11-09","2023-11-09","Fiesta local",FALSE,"ETSIDI","fiesta"
"2023-11-18","2023-11-25","Semana ATHENS",TRUE,"ETSIDI","evento"
"2023-11-21","2023-11-21","Jornada de la Investigación ETSIDI (pendiente de confirmación)",TRUE,"ETSIDI","transparent"
"2023-12-06","2023-12-06","Fiesta nacional.  Día de la Constitución",FALSE,"ETSIDI","fiesta"
"2023-12-07","2023-12-07","No lectivo",FALSE,"ETSIDI","noLectivo"
"2023-12-08","2023-12-08","Fiesta nacional.  La Inmaculada Concepción",FALSE,"ETSIDI","fiesta"
"2023-12-11","2023-12-11","Fin plazo presentación propuestas TFG para defensa convocatoria febrero",TRUE,"Grado","transparent"
"2023-12-11","2023-12-11","Fin plazo presentación propuestas TFM para defensa convocatoria febrero",TRUE,"Master","transparent"
"2023-12-23","2024-01-07","Vacaciones de Navidad",FALSE,"ETSIDI","fiesta"
"2024-01-09","2024-01-29","Exámenes del primer semestre",TRUE,"ETSIDI","examen"
"2024-01-25","2024-02-02","Entrega del TFG convocatoria ordinaria de febrero para estudiantes de movilidad (incoming)",TRUE,"Grado","transparent"
"2024-01-26","2024-01-26","Fiesta Santo Tomás de Aquino",NA,"ETSIDI","fiesta"
"2024-01-29","2024-02-02","Entrega del TFG, convocatoria ordinaria de febrero",TRUE,"Grado","transparent"
"2024-01-29","2024-02-02","Entrega del TFM, convocatoria ordinaria de febrero",TRUE,"Master","transparent"
"2024-01-30","2024-02-05","Desmatriculación (asignaturas del 2º semestre max. 12 ECTS)",TRUE,"ETSIDI","matricula"
"2024-01-31","2024-01-31","Welcome day to international students",TRUE,"Grado","evento"
"2024-02-01","2024-08-31","Segundo semestre",TRUE,"ETSIDI","normal"
"2024-02-01","2024-05-24","Docencia",TRUE,"Grado","lectivo"
"2024-02-06","2024-02-12","Ampliación restringida de matrícula*",TRUE,"ETSIDI","matricula"
"2024-02-08","2024-05-17","Docencia",TRUE,"Master","lectivo"
"2024-02-12","2024-02-23","Defensa del TFM, convocatoria ordinaria de febrero",TRUE,"Master","transparent"
"2024-02-22","2024-02-22","Lectivo sin clases",TRUE,"Master","especial"
"2024-02-22","2024-02-22","Defensa del TFG convocatoria ordinaria de febrero. Lectivo sin clases.",TRUE,"Grado","especial"
"2024-03-16","2024-03-23","Semana ATHENS",TRUE,"ETSIDI","evento"
"2024-03-18","2024-03-18","Festividad patrón ETSIDI",FALSE,"ETSIDI","fiesta"
"2024-03-23","2024-04-01","Vacaciones de Semana Santa",FALSE,"ETSIDI","fiesta"
"2024-04-02","2024-04-02","Horario de lunes",TRUE,"ETSIDI","especial"
"2024-05-01","2024-05-01","Fiesta nacional. Día del trabajo",NA,"ETSIDI","fiesta"
"2024-05-02","2024-05-02","Fiesta de la Comunidad de Madrid",FALSE,"ETSIDI","fiesta"
"2024-05-03","2024-05-03","No lectivo",NA,"ETSIDI","noLectivo"
"2024-05-09","2024-05-09","Examen de nivelación lengua inglesa",TRUE,"ETSIDI","examen"
"2024-05-15","2024-05-15","Fiesta local. San Isidro Labrador",NA,"ETSIDI","fiesta"
"2024-05-17","2024-05-17","Horario de miércoles",TRUE,"ETSIDI","especial"
"2024-05-20","2024-05-20","Fin plazo presentación propuestas TFG para defensa convocatorias junio y julio",TRUE,"Grado","transparent"
"2024-05-20","2024-05-20","Fin plazo presentación propuestas TFM para defensa convocatorias junio y julio",TRUE,"Master","transparent"
"2024-05-30","2024-06-15","Exámenes del segundo semestre",TRUE,"ETSIDI","examen"
"2024-06-10","2024-06-14","Entrega del TFG convocatoria ordinaria de junio",TRUE,"Grado","transparent"
"2024-06-10","2024-06-14","Entrega del TFM convocatoria ordinaria de junio",TRUE,"Master","transparent"
"2024-06-24","2024-07-13","Exámenes convocatoria extraordinaria",TRUE,"ETSIDI","examen"
"2024-06-27","2024-07-11","Defensa del TFM convocatoria ordinaria de junio",TRUE,"Master","transparent"
"2024-07-10","2024-07-11","Defensa del TFG convocatoria ordinaria de junio",TRUE,"Grado","transparent"
"2024-09-23","2024-09-24","Convocatoria TFG convocatoria julio curso 2023-2024 (propuesta B)",TRUE,"Grado","transparent"
"2024-09-23","2024-09-24","Convocatoria TFM convocatoria julio curso 2023-2024 (propuesta B)",NA,"Master","transparent"
"2024-09-23","2024-09-25","Convocatoria TFG convocatoria julio curso 2023-2024 (propuesta A)",TRUE,"Grado","transparent"
