"Inicio","Final","Descripcion","Lectivo","Tipo","Formato"
"2024-09-01","2025-01-28","Primer semestre","TRUE","ETSIDI","normal"
"2024-09-01","2024-09-09","Entrega del TFG convocatoria extraordinaria curso 2023-2024","FALSE","Grado","transparent"
"2024-09-01","2024-09-10","Entrega del TFM convocatoria extraordinaria curso 2023-2024","FALSE","Master","transparent"
"2024-09-04","2024-09-09","Matrícula: periodo extraordinario alumnos nuevo ingreso","TRUE","Grado","matricula"
"2024-09-04","2024-09-09","Matrícula","TRUE","Master","matricula"
"2024-09-06","2024-09-06","Welcome day to international students","TRUE","Grado","evento"
"2024-09-09","2024-09-09","Jornada de Bienvenida","TRUE","Grado","evento"
"2024-09-10","2024-12-20","Docencia","TRUE","Grado","lectivo"
"2024-09-12","2024-09-26","Defensa de TFM, convocatoria extraordinaria curso 2023-2024","TRUE","Master","transparent"
"2024-09-17","2024-12-13","Docencia","TRUE","Master","lectivo"
"2024-09-18","2024-09-19","Defensa de TFG, convocatoria extraordinaria curso 2023-2024. Lectivo sin clases. Otras actividades para estudiantes (pendiente)","TRUE","Grado","especial"
"2024-09-18","2024-09-19","Lectivo sin clases.","TRUE","Master","especial"
"2024-09-29","2024-09-29","Noche de los Investigadores (pendiente de confirmación)","TRUE","ETSIDI","evento"
"2024-10-12","2024-10-12","Fiesta nacional","FALSE","ETSIDI","fiesta"
"2024-10-29","2024-10-29","Horario de viernes","TRUE","ETSIDI","especial"
"2024-11-01","2024-11-01","Fiesta nacional","FALSE","ETSIDI","fiesta"
"2024-11-04","2024-11-17","Semana de la Ciencia y la Innovación","TRUE","ETSIDI","evento"
"2024-11-09","2024-11-09","Fiesta local","FALSE","ETSIDI","fiesta"
"2024-11-18","2024-11-25","Semana ATHENS (pendiente de confirmación)","TRUE","ETSIDI","evento"
"2024-11-21","2024-11-21","Jornada de la Investigación ETSIDI (pendiente de confirmación)","TRUE","ETSIDI","transparent"
"2024-12-05","2024-12-05","Examen de nivelación lengua inglesa","TRUE","ETSIDI","lectivo"
"2024-12-06","2024-12-06","Fiesta nacional.  Día de la Constitución","FALSE","ETSIDI","fiesta"
"2024-12-10","2024-12-10","Fin plazo presentación propuestas TFG para defensa convocatoria febrero","TRUE","Grado","transparent"
"2024-12-11","2024-12-11","Fin plazo presentación propuestas TFM para defensa convocatoria febrero","TRUE","Master","transparent"
"2024-12-21","2025-01-07","Vacaciones de Navidad","FALSE","ETSIDI","fiesta"
"2025-01-08","2025-01-27","Exámenes de convocatoria ordinaria","TRUE","ETSIDI","examen"
"2025-01-24","2025-01-31","Entrega del TFG convocatoria ordinaria de febrero.","TRUE","Grado","transparent"
"2025-01-24","2025-01-31","Entrega del TFM, convocatoria ordinaria de febrero","TRUE","Master","transparent"
