"Inicio","Final","Descripcion","Lectivo","Tipo","Formato"
"2018-09-01","2019-01-23","Primer semestre",TRUE,"ETSIDI","normal"
"2018-09-04","2018-09-10","Matrícula",TRUE,"Master","matricula"
"2018-09-04","2018-09-04","Welcome Day for International Students",NA,"Grado","evento"
"2018-09-05","2018-09-05","Jornada de Bienvenida",FALSE,"Grado","evento"
"2018-09-06","2018-12-21","Docencia",TRUE,"Grado","lectivo"
"2018-09-13","2018-12-14","Docencia",TRUE,"Master","lectivo"
"2018-09-28","2018-09-28","Noche de los Investigadores (prov.)",TRUE,"ETSIDI","evento"
"2018-10-12","2018-10-12","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2018-10-15","2018-10-15","No lectivo",FALSE,"ETSIDI","noLectivo"
"2018-10-16","2018-10-16","Horario de lunes",TRUE,"ETSIDI","especial"
"2018-10-31","2018-10-31","Horario de viernes",TRUE,"ETSIDI","especial"
"2018-11-01","2018-11-01","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2018-11-01","2018-11-04","INTER EUITI (prov.)",TRUE,"ETSIDI","evento"
"2018-11-02","2018-11-02","No lectivo",FALSE,"ETSIDI","noLectivo"
"2018-11-09","2018-11-09","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2018-11-10","2018-11-18","Semana ATHENS (prov.)",TRUE,"ETSIDI","evento"
"2018-11-12","2018-11-12","Horario de viernes",TRUE,"ETSIDI","especial"
"2018-12-06","2018-12-06","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2018-12-07","2018-12-07","No lectivo",FALSE,"ETSIDI","noLectivo"
"2018-12-08","2018-12-08","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2018-12-13","2018-12-13","Examen Nivel Lengua Inglesa",TRUE,"Grado","evento"
"2018-12-22","2019-01-07","Vacaciones de Navidad",FALSE,"ETSIDI","fiesta"
"2019-01-08","2019-01-23","Exámenes del primer semestre",TRUE,"Grado","examen"
"2019-01-08","2019-01-23","Exámenes del primer semestre",TRUE,"Master","examen"
"2019-01-24","2019-01-30","Desmatriculación",TRUE,"ETSIDI","matricula"
"2019-01-24","2019-08-31","Segundo semestre",TRUE,"ETSIDI","normal"
"2019-01-24","2019-01-30","Entrega del TFG",TRUE,"Grado","transparent"
"2019-01-28","2019-01-28","Fiesta Santo Tomás de Aquino",FALSE,"ETSIDI","fiesta"
"2019-01-30","2019-05-22","Docencia",TRUE,"Grado","lectivo"
"2019-01-31","2019-02-06","Ampliación de matrícula",TRUE,"ETSIDI","matricula"
"2019-02-04","2019-02-08","Entrega del TFM",TRUE,"Master","transparent"
"2019-02-04","2019-02-28","Defensa del TFG",TRUE,"Grado","transparent"
"2019-02-04","2019-05-10","Docencia",TRUE,"Master","lectivo"
"2019-02-18","2019-02-22","Defensa del TFM",TRUE,"Master","transparent"
"2019-03-16","2019-03-24","Semana ATHENS (prov.)",TRUE,"ETSIDI","evento"
"2019-03-18","2019-03-18","Fiesta ETSIDI",FALSE,"ETSIDI","fiesta"
"2019-03-19","2019-03-19","Horario de lunes",TRUE,"ETSIDI","especial"
"2019-04-13","2019-04-22","Vacaciones de Semana Santa",FALSE,"ETSIDI","fiesta"
"2019-05-01","2019-05-01","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2019-05-02","2019-05-02","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2019-05-03","2019-05-03","No lectivo",FALSE,"ETSIDI","noLectivo"
"2019-05-09","2019-05-09","Examen Nivel Lengua Inglesa",TRUE,"Grado","evento"
"2019-05-15","2019-05-15","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2019-05-29","2019-06-13","Exámenes del segundo semestre",TRUE,"ETSIDI","examen"
"2019-06-21","2019-07-09","Exámenes extraordinarios",TRUE,"ETSIDI","examen"
"2019-06-24","2019-06-28","Entrega del TFG",TRUE,"Grado","transparent"
"2019-06-24","2019-06-28","Entrega del TFM",TRUE,"Master","transparent"
"2019-07-01","2019-07-19","Defensa del TFG",TRUE,"Grado","transparent"
"2019-07-08","2019-07-12","Defensa del TFM",TRUE,"Master","transparent"
"2019-07-12","2019-07-16","Matrícula alumnos nuevo ingreso",TRUE,"Grado","matricula"
"2019-07-22","2019-08-02","Matrícula",TRUE,"Grado","matricula"
"2019-07-22","2019-08-02","Matrícula",TRUE,"Master","matricula"
