"Inicio","Final","Descripcion","Lectivo","Tipo","Formato"
"2020-09-05","2020-09-13","Matrícula",TRUE,"Master","matricula"
"2020-09-07","2021-01-22","Primer semestre",TRUE,"ETSIDI","normal"
"2020-09-07","2020-09-07","Jornada de Bienvenida Alumnos de Intercambio",TRUE,"ETSIDI","evento"
"2020-09-08","2020-09-08","Jornada de Bienvenida",TRUE,"Grado","evento"
"2020-09-09","2020-12-22","Docencia",TRUE,"Grado","lectivo"
"2020-09-14","2020-09-30","Matrícula: ajustes asignaturas B y C, y COVID",TRUE,"Grado","matricula"
"2020-09-14","2020-12-11","Docencia",TRUE,"Master","lectivo"
"2020-10-05","2020-10-09","Matrícula: periodo extraordinario alumnos nuevo ingreso",TRUE,"Grado","matricula"
"2020-10-12","2020-10-12","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2020-10-14","2020-10-14","Horario de lunes",TRUE,"ETSIDI","especial"
"2020-11-02","2020-11-02","Fiesta Nacional (Todos los Santos Trasladado)",FALSE,"ETSIDI","fiesta"
"2020-11-05","2020-11-05","Horario de lunes",TRUE,"ETSIDI","especial"
"2020-11-09","2020-11-09","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2020-11-13","2020-11-13","Horario de lunes",TRUE,"ETSIDI","especial"
"2020-11-27","2020-11-27","Noche de los Investigadores",TRUE,"ETSIDI","evento"
"2020-12-03","2020-12-03","Examen Nivel Lengua Inglesa",TRUE,"Grado","evento"
"2020-12-07","2020-12-07","Fiesta Nacional (Día de la Constitución Trasladado)",FALSE,"ETSIDI","fiesta"
"2020-12-08","2020-12-08","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2020-12-10","2020-12-10","Fin plazo para presentación de propuestas TFG para defensa en convocatoria Febrero 2021",TRUE,"Grado","transparent"
"2020-12-10","2020-12-10","Fin plazo para presentación de propuestas TFM para defensa en convocatoria Febrero 2021",TRUE,"Master","transparent"
"2020-12-23","2021-01-07","Vacaciones de Navidad",FALSE,"ETSIDI","fiesta"
"2021-01-08","2021-02-09","Exámenes del primer semestre",TRUE,"ETSIDI","examen"
"2021-01-28","2021-01-28","Fiesta Santo Tomás de Aquino",FALSE,"ETSIDI","fiesta"
"2021-02-01","2021-02-01","Jornada de Bienvenida Alumnos de Intercambio",TRUE,"ETSIDI","evento"
"2021-02-03","2021-02-09","Entrega del TFG",TRUE,"Grado","transparent"
"2021-02-03","2021-02-09","Entrega del TFM",TRUE,"Master","transparent"
"2021-02-10","2021-08-31","Segundo semestre",TRUE,"ETSIDI","normal"
"2021-02-10","2021-05-31","Docencia",TRUE,"Grado","lectivo"
"2021-02-10","2021-05-17","Docencia",TRUE,"Master","lectivo"
"2021-02-10","2021-03-05","Defensa del TFM",TRUE,"Master","transparent"
"2021-02-10","2021-03-05","Defensa del TFG",TRUE,"Grado","transparent"
"2021-02-15","2021-02-21","Desmatriculación",TRUE,"ETSIDI","matricula"
"2021-02-22","2021-02-28","Ampliación de matrícula",TRUE,"ETSIDI","matricula"
"2021-03-13","2021-03-21","Semana ATHENS (Provisional)",TRUE,"ETSIDI","evento"
"2021-03-19","2021-03-19","Festividad San José (festivo autonómico) y Fiesta ETSIDI",FALSE,"ETSIDI","fiesta"
"2021-03-27","2021-04-05","Vacaciones de Semana Santa",FALSE,"ETSIDI","fiesta"
"2021-04-08","2021-04-08","Horario de lunes",TRUE,"ETSIDI","especial"
"2021-05-03","2021-05-03","Fiesta Local (Día de la Comunidad de Madrid trasladado)",FALSE,"ETSIDI","fiesta"
"2021-05-04","2021-05-04","No Lectivo (Elecciones a la Asamblea de Madrid)",NA,"ETSIDI","fiesta"
"2021-05-05","2021-05-05","Horario de lunes",TRUE,"ETSIDI","especial"
"2021-05-06","2021-05-06","Examen Nivel Lengua Inglesa",TRUE,"Grado","evento"
"2021-05-17","2021-05-17","Horario de martes",TRUE,"Master","especial"
"2021-05-21","2021-05-21","Fin plazo presentación propuestas TFG para defensa convocatorias junio y julio",TRUE,"Grado","transparent"
"2021-05-21","2021-05-21","Fin plazo presentación propuestas TFM para defensa convocatorias junio y julio",TRUE,"Master","transparent"
"2021-05-31","2021-05-31","Horario de martes",TRUE,"Grado","especial"
"2021-06-02","2021-06-18","Exámenes del segundo semestre",TRUE,"ETSIDI","examen"
"2021-06-14","2021-06-19","Ampliación exámenes del segundo semestre (aprobado en Consejo de Gobierno 26-11-2020)",TRUE,"ETSIDI","examen"
"2021-06-21","2021-06-25","Entrega del TFG convocatoria de Junio",TRUE,"Grado","transparent"
"2021-06-21","2021-06-25","Entrega del TFM convocatoria de Junio",TRUE,"Master","transparent"
"2021-06-28","2021-07-16","Exámenes convocatoria extraordinaria",TRUE,"ETSIDI","examen"
"2021-06-28","2021-07-16","Defensa del TFG convocatoria de Junio",TRUE,"Grado","transparent"
"2021-06-28","2021-07-16","Defensa del TFM convocatoria de Junio",TRUE,"Master","transparent"
"2021-07-12","2021-07-20","Ampliación exámenes convocatoria extraordinaria (aprobado en Consejo de Gobierno 26-11-2020)",TRUE,"ETSIDI","examen"
