"Inicio","Final","Descripcion","Lectivo","Tipo","Formato"
"202-05-13","2020-05-13","Horario de viernes",TRUE,"Grado","especial"
"2019-09-01","2020-01-23","Primer semestre",TRUE,"ETSIDI","normal"
"2019-09-05","2019-09-09","Matrícula: periodo extraordinario alumnos nuevo ingreso",TRUE,"Grado","matricula"
"2019-09-05","2019-09-13","Matrícula",TRUE,"Master","matricula"
"2019-09-09","2019-09-09","Jornada de Bienvenida",FALSE,"Grado","evento"
"2019-09-10","2019-12-20","Docencia",TRUE,"Grado","lectivo"
"2019-09-17","2019-12-13","Docencia",TRUE,"Master","lectivo"
"2019-09-27","2019-09-27","Noche de los Investigadores",TRUE,"ETSIDI","evento"
"2019-10-12","2019-10-12","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2019-10-30","2019-10-30","Horario de viernes",TRUE,"ETSIDI","especial"
"2019-11-01","2019-11-01","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2019-11-02","2019-11-02","No lectivo",FALSE,"ETSIDI","noLectivo"
"2019-11-09","2019-11-09","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2019-11-12","2019-11-12","Horario de viernes",TRUE,"ETSIDI","especial"
"2019-11-16","2019-11-24","Semana ATHENS",TRUE,"ETSIDI","evento"
"2019-12-05","2019-12-05","Examen Nivel Lengua Inglesa",TRUE,"Grado","evento"
"2019-12-06","2019-12-06","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2019-12-07","2019-12-07","No lectivo",FALSE,"ETSIDI","noLectivo"
"2019-12-08","2019-12-08","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2019-12-09","2019-12-09","No lectivo (8 de Diciembre.Inmaculada Concepción se traslada al lunes)",FALSE,"ETSIDI","fiesta"
"2019-12-10","2019-12-10","Horario de lunes",TRUE,"ETSIDI","especial"
"2019-12-10","2020-12-10","Fin plazo presentación propuestas TFG para defensa convocatoria febrero",TRUE,"Grado","transparent"
"2019-12-10","2020-12-10","Fin plazo presentación propuestas TFM para defensa convocatoria febrero",TRUE,"Grado","transparent"
"2019-12-21","2020-01-07","Vacaciones de Navidad",FALSE,"ETSIDI","fiesta"
"2020-01-08","2020-01-24","Exámenes del primer semestre",TRUE,"Grado","examen"
"2020-01-08","2020-01-24","Exámenes del primer semestre",TRUE,"Master","examen"
"2020-01-24","2020-08-31","Segundo semestre",TRUE,"ETSIDI","normal"
"2020-01-27","2020-01-31","Desmatriculación",TRUE,"ETSIDI","matricula"
"2020-01-27","2020-01-31","Entrega del TFG",TRUE,"Grado","transparent"
"2020-01-27","2020-01-31","Entrega del TFM",TRUE,"Master","transparent"
"2020-01-28","2020-01-28","Fiesta Santo Tomás de Aquino",FALSE,"ETSIDI","fiesta"
"2020-02-02","2020-02-13","Defensa del TFM",TRUE,"Master","transparent"
"2020-02-03","2020-02-07","Ampliación de matrícula",TRUE,"ETSIDI","matricula"
"2020-02-03","2020-02-21","Defensa del TFG",TRUE,"Grado","transparent"
"2020-02-04","2020-05-22","Docencia",TRUE,"Grado","lectivo"
"2020-02-04","2020-05-08","Docencia",TRUE,"Master","lectivo"
"2020-03-14","2020-03-22","Semana ATHENS",TRUE,"ETSIDI","evento"
"2020-03-19","2020-03-19","Horario de viernes",TRUE,"ETSIDI","especial"
"2020-03-20","2020-03-20","Fiesta ETSIDI",FALSE,"ETSIDI","fiesta"
"2020-04-01","2020-04-01","No lectivo",FALSE,"Master","noLectivo"
"2020-04-04","2020-04-13","Vacaciones de Semana Santa",FALSE,"ETSIDI","fiesta"
"2020-04-14","2020-04-14","Horario de lunes",TRUE,"ETSIDI","especial"
"2020-05-01","2020-05-01","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2020-05-02","2020-05-02","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2020-05-07","2020-05-07","Examen Nivel Lengua Inglesa",TRUE,"Grado","evento"
"2020-05-13","2020-05-13","Horario de lunes",TRUE,"Grado","especial"
"2020-05-15","2020-05-15","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2020-05-22","2020-05-22","Fin plazo presentación propuestas TFG para defensa convocatorias junio y julio",TRUE,"Grado","transparent"
"2020-05-22","2020-05-22","Fin plazo presentación propuestas TFM para defensa convocatorias junio y julio",TRUE,"Grado","transparent"
"2020-05-28","2020-06-13","Exámenes del segundo semestre",TRUE,"ETSIDI","examen"
"2020-06-22","2020-06-26","Entrega del TFG",TRUE,"Grado","transparent"
"2020-06-22","2020-06-26","Entrega del TFM",TRUE,"Master","transparent"
"2020-06-22","2020-07-11","Exámenes extraordinarios",TRUE,"ETSIDI","examen"
"2020-06-29","2020-07-17","Defensa del TFG",TRUE,"Grado","transparent"
"2020-06-29","2020-07-10","Defensa del TFM",TRUE,"Master","transparent"
